type        x           y           dx_actual   dy_actual   dx_ideal    dy_ideal    collisions  
Substrate   36          60          -11         -1          -13         -3          13          
Substrate   36          65          4           9           3           10          5           
Substrate   36          66          8           13          8           15          11          
Enzyme      36          106         3           -4          6           -7          12          
Substrate   37          22          1           13          0           15          15          
Substrate   37          50          13          5           13          11          17          
Substrate   37          52          7           0           12          3           16          
Product     37          74          3           0           3           -1          7           
ES          37          92          -2          1           -1          3           18          
Substrate   37          104         5           7           6           7           17          
Substrate   37          116         1           16          3           18          9           
Substrate   38          34          -2          -9          -3          -13         11          
Substrate   38          57          -6          -12         -4          -13         7           
Substrate   38          67          1           7           4           8           9           
ES          38          71          -15         -1          -11         -4          13          
ES          38          121         7           10          4           15          17          
Substrate   38          127         7           -2          5           -2          11          
Substrate   39          5           7           2           8           -1          16          
Product     39          52          -1          -3          -2          -3          1           
Enzyme      39          62          -3          -15         0           -16         6           
Substrate   40          0           6           1           7           0           6           
Substrate   40          12          1           -6          -3          -3          13          
Product     40          13          0           1           -2          2           2           
Product     40          29          -1          -4          -2          -1          4           
Substrate   40          62          -10         0           -10         0           14          
Substrate   40          65          -4          -4          0           -4          11          
Enzyme      40          81          -6          -7          -5          -3          20          
ES          41          28          -5          1           -4          2           15          
Substrate   41          78          4           7           0           10          15          
Substrate   41          81          7           4           9           7           18          
Enzyme      42          1           0           -1          -5          0           13          
Product     42          4           8           -6          6           -12         12          
Product     42          7           12          2           9           -1          9           
Substrate   42          8           8           4           6           5           14          
Enzyme      42          10          -1          1           -3          -1          2           
Product     42          42          14          -6          16          -2          12          
Substrate   42          47          6           -2          2           -5          13          
Product     42          60          11          -1          10          3           11          
Substrate   42          61          -16         1           -18         1           8           
Substrate   42          71          -15         -10         -15         -11         8           
Substrate   42          78          -3          9           -2          12          11          
Substrate   42          119         1           -5          1           -7          7           
Enzyme      43          2           -1          -1          -2          -2          1           
Enzyme      43          16          5           -7          5           -7          6           
Enzyme      43          23          7           -9          5           -11         17          
Substrate   43          25          -5          14          1           12          11          
ES          43          32          5           -4          2           -3          10          
ES          44          13          -2          8           -5          2           11          
Substrate   44          41          4           4           6           0           15          
Substrate   44          113         11          -15         13          -13         7           
Substrate   45          19          3           -2          2           -3          19          
Substrate   45          26          2           -1          0           -3          2           
Substrate   45          30          -2          -4          -1          -3          1           
Substrate   45          55          0           5           1           5           11          
Substrate   45          82          -3          -3          -4          -3          13          
Enzyme      46          34          3           -2          2           -3          10          
Substrate   46          47          8           -8          6           -7          11          
ES          46          53          -1          5           -1          1           16          
Substrate   46          63          -1          3           1           4           13          
Enzyme      46          107         8           0           11          -3          10          
Substrate   47          19          8           0           6           0           7           
Substrate   47          39          -2          22          -5          22          10          
Substrate   47          46          -2          -7          1           -5          13          
Substrate   47          82          -6          10          -12         7           13          
ES          47          106         1           5           -5          -1          12          
Product     47          112         6           -1          6           1           3           
Substrate   48          6           9           1           8           -2          15          
ES          48          38          -2          9           3           8           19          
Product     48          40          11          0           13          0           9           
Product     48          94          5           -1          5           0           9           
Substrate   48          107         -2          1           -1          2           12          
Substrate   48          126         -12         -8          -12         -10         16          
Substrate   49          65          14          -10         12          -15         8           
Enzyme      49          84          -5          -6          -4          1           11          
Substrate   49          92          -4          9           -5          12          15          
Substrate   49          98          -11         5           -11         7           10          
Substrate   49          99          4           -15         6           -14         15          
Substrate   49          115         0           16          -4          15          14          
Substrate   49          125         1           4           -1          1           18          
Enzyme      50          19          -7          -14         -10         -12         6           
Substrate   50          74          9           15          13          18          16          
ES          50          82          2           10          0           11          8           
Substrate   50          88          5           -11         7           -9          13          
Substrate   50          89          -2          13          1           14          12          
Substrate   51          13          12          -1          13          3           11          
Enzyme      51          21          -3          -7          -6          -2          15          
Substrate   51          35          11          -11         11          -13         11          
Substrate   51          41          -12         6           -13         9           7           
Enzyme      51          50          7           11          8           20          15          
ES          51          57          1           1           -1          -2          4           
Substrate   51          98          -1          2           -3          1           14          
Substrate   52          0           2           -3          2           1           9           
Substrate   52          30          20          -4          18          -5          10          
Enzyme      52          37          2           -5          4           -1          14          
Substrate   52          95          12          -6          14          -9          10          
Enzyme      53          28          6           1           5           2           9           
Product     53          52          7           -1          6           -2          1           
Substrate   53          63          2           17          3           14          17          
Substrate   54          2           9           7           7           9           10          
Substrate   54          25          16          3           19          4           11          
Substrate   54          94          3           11          -2          18          13          
Substrate   54          99          -10         -10         -5          -11         9           
Enzyme      54          103         7           -3          5           3           13          
Substrate   54          104         3           -3          -2          0           9           
Enzyme      54          124         -4          -15         3           -18         10          
Enzyme      55          7           -3          -8          0           -4          10          
Product     55          66          2           5           1           6           3           
Substrate   55          75          18          -6          13          -6          12          
Substrate   55          94          5           17          7           17          10          
Substrate   55          98          6           8           6           9           15          
Substrate   55          120         -15         3           -11         1           21          
Substrate   56          1           3           -3          5           -4          13          
ES          56          94          2           -13         0           -11         20          
Substrate   56          96          -16         -4          -18         -3          16          
ES          56          101         13          -5          12          0           15          
Substrate   56          104         4           22          9           22          16          
Substrate   56          124         7           3           9           0           6           
Substrate   57          14          1           3           2           1           12          
Product     57          15          4           2           1           5           13          
Enzyme      57          23          -3          1           -3          3           5           
ES          57          37          9           5           9           3           10          
Enzyme      57          38          -2          -18         -8          -25         18          
Substrate   57          90          0           -2          -5          -3          16          
ES          57          108         -3          2           -2          1           10          
Substrate   57          116         -11         -11         -13         -13         11          
Substrate   58          5           -18         11          -18         11          9           
Substrate   58          17          -6          3           -13         5           11          
Substrate   58          24          5           8           6           7           12          
Substrate   58          29          16          -16         21          -18         10          
Substrate   58          55          -1          -16         1           -12         9           
Substrate   58          63          13          8           19          4           14          
Enzyme      58          64          -12         11          -14         15          8           
Enzyme      58          78          3           4           -2          15          20          
Substrate   58          91          -9          -1          -14         -3          11          
Substrate   58          121         1           -1          4           -5          14          
Substrate   59          7           -10         -6          -8          -7          8           
Substrate   59          47          10          -5          9           -8          8           
Enzyme      59          97          -8          1           -8          2           6           
Substrate   59          126         -2          -3          -2          -4          15          
Enzyme      60          5           6           -8          9           -7          11          
Substrate   60          42          -4          3           -1          3           11          
Substrate   60          60          -2          10          0           9           14          
Enzyme      61          47          5           3           2           3           12          
Substrate   61          60          -3          0           1           -2          14          
Substrate   61          65          -9          -3          -19         -3          17          
Enzyme      61          73          6           8           4           6           4           
Substrate   62          17          -8          -5          -14         -9          18          
Substrate   62          24          4           11          4           10          12          
Substrate   62          89          1           -3          3           -2          12          
ES          62          121         -5          5           -2          1           16          
ES          63          16          7           0           6           -1          8           
ES          63          19          -12         4           -12         6           9           
Substrate   63          21          13          -5          13          -6          15          
Substrate   63          46          10          18          11          20          9           
Substrate   63          56          2           -15         4           -11         14          
ES          63          60          -8          -7          -7          -8          13          
Substrate   63          62          -8          -7          -5          -5          13          
